Sample,Toploader,"n
(cm-2)","μ_xx
(cm^2/Vs)","μ_yy
(cm^2/Vs)",Average μ (cm^2/Vs),mean free path (nm),notes
JS,,,,,#DIV/0!,#DIV/0!,
JS,,,,,#DIV/0!,#DIV/0!,
JS,,,,,#DIV/0!,#DIV/0!,
JS1070,,6.19E+11,1.15E+04,2.00E+04,1.58E+04,204,
,,,,,,,
JS1068,,8.10E+11,3.83E+04,2.24E+04,3.04E+04,451,
,,,,,,,
JS1066,,8.15E+11,2.07E+04,2.22E+04,2.15E+04,320,
JS1065,,6.65E+11,1.60E+04,1.41E+04,1.51E+04,203,
,,,,,,,
JS1062,,7.89E+11,2.15E+04,2.29E+04,2.22E+04,325,
JS1061,,7.24E+11,2.52E+04,6.92E+03,1.61E+04,225,
JS1059,,9.73E+11,4.89E+03,5.45E+03,5.17E+03,84,
JS1058,,6.87E+11,2.44E+04,1.08E+04,1.76E+04,241,
,,,,,,,
JS1056,,1.30E+12,4.01E+04,2.29E+04,3.15E+04,593,
JS1053J,,,,,#DIV/0!,#DIV/0!,
JS1052J,,,,,#DIV/0!,#DIV/0!,
JS1051J,,8.27E+11,5.50E+04,8.93E+03,3.20E+04,480,
JS1050J,,9.34E+11,1.37E+04,1.10E+04,1.24E+04,197,
JS1049 (was mislabeled as 1047),,9.54E+11,1.16E+04,4.00E+04,2.58E+04,416,
JS1048,,9.37E+11,5.00E+04,9.19E+03,2.96E+04,473,
,,,,,,,
JS1046 (bad),,-,-,-,#DIV/0!,#DIV/0!,
JS1044 (bad),,,,,#DIV/0!,#DIV/0!,
JS1043,,,,,#DIV/0!,#DIV/0!,
JS1042,,,,,#DIV/0!,#DIV/0!,
JS1041,,6.76E+11,1.18E+04,5.31E+03,8.56E+03,116,
JS1040,,1.24E+12,4.68E+02,2.36E+02,3.52E+02,6,
JS1039,,,,,#DIV/0!,#DIV/0!,
JS1038,,1.32E+12,5.67E+03,3.72E+03,4.70E+03,89,
JS1037,,9.99E+11,4.04E+03,2.10E+03,3.07E+03,51,
JS1035,,,,,#DIV/0!,#DIV/0!,
JS1032J,,,,,#DIV/0!,#DIV/0!,
JS1030,,,,,#DIV/0!,#DIV/0!,
JS1029,,,,,#DIV/0!,#DIV/0!,
JS1028 (bad),,-,-,-,#DIV/0!,#DIV/0!,
JS1027,,,,,#DIV/0!,#DIV/0!,
JS1024,,,,,#DIV/0!,#DIV/0!,
JS1023,,,,,#DIV/0!,#DIV/0!,
JS1021J,,,,,#DIV/0!,#DIV/0!,
,,,,,#DIV/0!,#DIV/0!,
JS1015J,,8.33E+11,-,1.76E+02,1.76E+02,3,
JS1012J,,-,-,-,#DIV/0!,#DIV/0!,
JS1011J,,3.13E+11,1.30E+03,-,1.30E+03,12,
JS1010J,,2.46E+12,5.23E+00,4.66E+00,4.95E+00,0,
JS1009J,,3.48E+15,6.57E+02,6.94E+02,6.76E+02,658,This data isn't real smh
JS1008J,,-2.78E+12,2.84E+02,-1.43E+02,7.05E+01,#NUM!,
JS1007J,,6.04E+11,7.02E+02,1.32E+04,6.95E+03,89,
JS1006J,,1.64E+12,2.41E+04,3.79E+03,1.39E+04,295,
1005J,,9.34E+12,2.76E+03,1.34E+03,2.05E+03,103,
1004,,1.41E+12,8.64E+03,5.37E+03,7.01E+03,137,
1002J,,1.29E+11,1.43E+02,1.91E+02,1.67E+02,1,
1001J,,1.85E+12,3.23E+04,4.49E+03,1.84E+04,413,
1000J,,8.29E+11,6.64E+03,3.53E+03,5.09E+03,76,
999,,,,,,,
998,,,,,,,
997,,,,,,,
996,,,,,,,
995,,,,,,,
994,,,,,,,
993,,7.88E+11,1.55E+03,3.53E+02,9.52E+02,14,
992,,-2.02E+11,1.08E+03,-8.22E+01,4.99E+02,#NUM!,
991,,,,,,,
990,,,,,,,
989,,,,,,,
987,,,,,,,
986,,,,,,,
985,,,,,,,
984,,5.38E+11,5.15E+04,3.88E+04,4.52E+04,546,
983,,5.21E+12,1.08E+03,1.55E+03,1.32E+03,50,
982,,2.64E+11,2.83E+03,3.62E+03,3.23E+03,27,
JS981J,,8.16E+11,1.61E+04,1.68E+04,1.65E+04,245,
JS980J,,9.56E+11,1.09E+04,8.47E+03,9.69E+03,156,
JS979J,,1.11E+12,8.74E+03,2.24E+04,1.56E+04,271,
978,,8.64E+12,-3.85E+02,3.68E+03,1.65E+03,80,
JS977J,,1.37E+12,7.04E+03,2.50E+04,1.60E+04,309,
JS976J,,1.27E+12,1.74E+04,1.34E+04,1.54E+04,286,
JS975,,1.32E+12,2.30E+04,1.15E+04,1.73E+04,327,
JS974J,,1.40E+12,8.46E+03,1.96E+04,1.40E+04,274,
JS973J,,7.66E+11,3.00E+04,6.85E+03,1.84E+04,266,
JS972J,,1.94E+12,1.70E+03,2.24E+03,1.97E+03,45,
JS971J,,5.91E+11,3.68E+04,2.01E+04,2.85E+04,361,
JS970J,,1.07E+12,7.92E+03,2.52E+04,1.66E+04,283,
JS969J,,1.80E+12,1.17E+04,3.81E+03,7.76E+03,172,
JS968,,4.05E+11,4.99E+03,4.80E+03,4.90E+03,51,
JS967J,,9.76E+11,1.30E+04,1.71E+04,1.51E+04,245,
JS966,,4.98E+12,1.83E+03,1.84E+03,1.84E+03,68,re-growth on JS964
JS965J,,7.87E+11,1.19E+04,1.08E+04,1.14E+04,166,
JS964,,8.99E+11,5.76E+03,1.27E+04,9.23E+03,144,-
JS963J,,3.33E+12,5.22E+03,6.86E+02,2.95E+03,89,re-growth on JS962J
JS962J,,1.62E+11,1.27E+02,2.15E+02,1.71E+02,1,
JS961J,,,,,,,
JS960J,,-7.34E+12,-1.86E+01,-2.01E+01,-1.94E+01,#NUM!,
JS959J,,7.34E+11,7.33E+04,9.21E+03,4.13E+04,583,
JS958,,2.78E+11,2.66E+02,1.47E+03,8.68E+02,8,
JS957,,3.88E+11,1.83E+03,2.93E+03,2.38E+03,24,
JS956,,4.10E+11,8.16E+03,1.26E+04,1.04E+04,110,
JS955,,9.80E+11,3.02E+04,1.01E+04,2.02E+04,329,
JS954,,5.48E+11,6.28E+03,6.89E+03,6.59E+03,80,
JS953,,9.99E+11,8.98E+03,1.85E+04,1.37E+04,227,
JS952,,5.27E+11,9.82E+03,1.16E+04,1.07E+04,128,
JS950,,4.79E+12,1.98E+03,3.37E+03,2.68E+03,97,
JS949_center,,1.04E+12,5.99E+04,3.92E+03,3.19E+04,537,
JS949_north,,4.07E+11,9.16E+02,7.10E+02,8.13E+02,9,
JS948,,9.85E+11,3.59E+04,2.26E+03,1.91E+04,312,
JS947 (edge),,2.05E+12,1.20E+04,6.41E+03,9.21E+03,217,
JS946 (edge),,1.65E+12,1.61E+04,4.71E+03,1.04E+04,221,
JS946 (center),,1.46E+12,8.74E+03,7.22E+03,7.98E+03,159,
JS944 (edge),,1.82E+12,8.42E+02,6.72E+03,3.78E+03,84,
JS944 (center),,2.22E+12,7.82E+03,7.91E+03,7.87E+03,193,
JS942,,9.93E+12,6.44E+03,2.84E+03,4.64E+03,241,
JS941,,3.27E+12,5.63E+03,4.43E+03,5.03E+03,150,
JS940,,4.41E+12,3.36E+03,4.57E+03,3.97E+03,137,
JS938,,5.76E+12,5.74E+03,1.91E+03,3.83E+03,151,
JS937,,4.65E+12,3.71E+03,3.40E+03,3.56E+03,126,
JS934,,1.13E+13,6.12E+03,1.59E+03,3.86E+03,214,
JS932,,1.47E+13,4.60E+03,1.94E+03,3.27E+03,207,
JS930,,1.55E+13,1.31E+03,4.40E+03,2.86E+03,185,
JS928J,,,,,,,Pin failed while loading
JS922J,,1.39E+13,9.20E+02,2.08E+03,1.50E+03,92,
JS913J,,1.13E+12,4.09E+03,4.99E+03,4.54E+03,80,
JS912J,,9.41E+11,4.63E+03,6.01E+03,5.32E+03,85,
JS911J,,8.53E+11,1.81E+04,5.62E+03,1.19E+04,181,
JS906J,,2.19E+12,3.95E+01,1.22E+02,8.08E+01,2,
JS905J,,5.33E+11,3.01E+03,4.20E+02,1.72E+03,21,
JS903J,,5.02E+11,4.04E+03,3.59E+04,2.00E+04,233,
JS874J,,6.57E+11,1.88E+04,6.29E+03,1.25E+04,168,
